ID,Created,QA Name,Agent ID,Operation,Customer Account Number,Interaction Number,Interaction Type,Date of Interaction,Time of Interaction,Was the Value of the credit accurate?,How much compensation WAS given by the Agent?,How much compensation SHOULD the Agent have given?,What Credit Code was used?,Was the Credit Code used correctly?,What credit code should have been used?,Were credit rules followed as per Support?,Failure reasons,Commentary for Credit adherence,Appealed?,What was appealed?,Tech M Appeal Comments,Initial Appeal Decision,Reasons for Initial Appeal Outcome Decision,Re-appeal?,Re-appeal comments,Final UK Position,Final UK Position commentary,Object ID/Title of Process,What have we amended from orignal audit?,Created_Date,Credit_given,Credit_Amount_Correct
475,17/07/2024 12:43,employee_16,80939,Billing,988545308,15144b64-feeb-477d-a09e-ce81faa570bf,Webchat,13/07/2024,00:46:42,Yes,52.74,52.74,B2C-Credit for Out Of Bundle,yes,B2C-Credit for Out Of Bundle,Yes,"[""N/A - No Fails""]","Scenario: Customer wanted to know why their bill was so high. shows as £43.95 (Which is £52.74 before VAT). Agent explained that the customer was charged for going over their Go Roam data allowance. The customer was unhappy about this as their should have been a cap when the 12GB was reached. The agent explained the cap is at £150. Customer wanted to complain. 50% of charges were offered, the customer rejected and then full charges offered. This was accepted. 

Are we aligned or not aligned with the applied credit?

Agent was aligned as per support
 
Is there a support article that supports the credit being applied?
'Managing billing disputes (Amdocs B2C)'


Support evidence - 
''OOB charges between £10.01 - £60	Step1: Negotiate and offer up to 50% of disputed amount
Step 2: If the customer doesn't agree, offer a one-off credit up to £60 of the disputed amount	OOB/ETB Charge: £60
Eligible refund:
Step 1: £30
Step 2: £60''

 
If unaligned, what aspect was unaligned?
N/A


Empowerment Used -

Empowerment - complaint language",No,,,,,,,,,,,17/07/2024,52.74,52.74
476,17/07/2024 13:08,employee_16,86350,Billing,981170004,eff89e5a-2fcf-48a2-be04-20e4cf7f6aad,Webchat,13/07/2024,00:58:25,Yes,4.01,4.01,B2C-Credit for Out Of Bundle,yes,B2C-Credit for Out Of Bundle,Yes,"[""N/A - No Fails""]","Scenario: Customer was unhappy that they were charged additionally on top of having bought a 14 day roaming pass. The customer was charged when their pass was still valid. Spend cap set as £0.00 and then offered to credit the full charges as per support.

Are we aligned or not aligned with the applied credit?

Agent was aligned as per support
 
Is there a support article that supports the credit being applied?
'Managing billing disputes (Amdocs B2C)'


Support evidence - 
''OOB charges up to £10	Offer full refund without negotiating.	OOB/ETB charge: £3
Eligible refund: £3''

 
If unaligned, what aspect was unaligned?
N/A

Empowerment Used -

Empowerment - Customer Journey",No,,,,,,,,,,,17/07/2024,4.01,4.01
477,17/07/2024 13:48,employee_16,86232,Billing,987030926,593cf2a9-d5ee-45f4-a38a-3085d547c245,Webchat,13/07/2024,00:35:39,Yes,7,7,B2C-Credit for Out Of Bundle,yes,B2C-Credit for Out Of Bundle,Yes,"[""N/A - No Fails""]","Scenario: Customer was unhappy that they were charged for roaming even though they could not use the services. The agent offered a spend cap then to credit the £7.00 charges as the customer didn't know about them and didn't get to use the data. (£5.83 before VAT) 

Are we aligned or not aligned with the applied credit?

Agent was aligned as per support
 
Is there a support article that supports the credit being applied?
'Managing billing disputes (Amdocs B2C)'


Support evidence - 
''OOB charges up to £10	Offer full refund without negotiating.	OOB/ETB charge: £3
Eligible refund: £3''

 
If unaligned, what aspect was unaligned?
N/A

Empowerment Used -

N/A",No,,,,,,,,,,,17/07/2024,7.0,7.0
478,17/07/2024 14:00,employee_5,90387,Tech,924871853,01R76FLGCCA5B43MBUM362LAES0II5OE,Voice,15/07/2024,08:34:00,Yes,7.7,7.55,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""Above credit thresholds - Gave customer too much credit""]","Overturned by BB due to QA error. 

Scenario: 

Customer stated he has had an issue with his data. Agetn runs resolve and helps troubleshoot


LR £15.11

Was the value of the credit accurate?

£7.70 Was Given
£7.55 Should Have been given. 
Answer: no

Template:

Are we aligned or not aligned with the applied credit?. 
Aligned.

Is there a support article that supports the credit being applied?

Coverage Policy - Welcome & Manage (Amdocs B2C)
Last updated 29/04/2024
Object ID 219811

Which part of the article supports the decision?

If date known - 50% line rental up to the fix date and if date not known - 1 month line rental credit - Mobile, SIM and Mobile Broadband

If unaligned, what aspect was unaligned?
N/A

Was any empowerment used?
N/A",No,,,,,,,,,,Changed adherence to Yes and Value to Yes.,17/07/2024,7.7,7.55
479,17/07/2024 14:15,employee_17,22780,DF Payment Support,101152777,00CMKDLLS0A5B6L71UM362LAES1UCHUQ,Voice,10/07/2024,09:53:00,Yes,5,5,B2C-Non-dd fee credit,yes,B2C-Non-dd fee credit,Yes,"[""N/A - No Fails""]","Scenario: 
The customer requested that the £5 non DD charge be removed as they believed the DD was set up on the account already and advised they hadn’t cancelled this. The advisor removed the charge and advised this was a one off waiver.  
Aligned with credit as per support. 
Support Article - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Support Evidence - Section 4.1 ‘Offer the customer £5 credit to their account.’
Empowerment used – N/A.",No,,,,,,,,,,,17/07/2024,5.0,5.0
480,17/07/2024 14:32,employee_17,88255,DF Payment Support,987370191,00CMKDLLS0A5B6L71UM362LAES1UGD3Q,Voice,10/07/2024,16:14:00,Yes,5,5,B2B - Non-DD fee credit,yes,B2C-Non-dd fee credit,Yes,"[""N/A - No Fails""]","Scenario: 
The customer requested that the £5 non DD charge be waived as they were making a payment on the call. The advisor removed the charge and advised this was a one off waiver.  
Aligned with credit as per support. 
Support Article - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Support Evidence - Section 4.1 ‘Offer the customer £5 credit to their account.’
Empowerment used – N/A.",Yes,"[""Credit Code accuracy""]",Not to be considered as error as per Exception,Overturned,Agents are unable to select B2C codes so have been instructed to use the B2B code.,,,,,,"Changed code adherence to ""Yes""",17/07/2024,5.0,5.0
481,17/07/2024 14:42,employee_5,66753,Tech,100166099,00CMKDLLS0A5B6L71UM362LAES1V5SGE,Voice,15/07/2024,17:58:00,Yes,8.15,8.15,B2C-Network Fault,yes,B2C-Network Fault,Yes,,"Scenario: 

Customer stated he has been struggling with his internet at his home postcode. The agetn looks into this and explains the isse with the mast. The customer accepts the 50% credit which was offered and does not wish to cancel

LR £69.11

Was the value of the credit accurate?

£8.15 Was Given
£8.00 Should Have been given. 
Answer: no

Template:

Are we aligned or not aligned with the applied credit?. 
Aligned.

Is there a support article that supports the credit being applied?

Coverage Policy - Welcome & Manage (Amdocs B2C)
Last updated 29/04/2024
Object ID 221761

Which part of the article supports the decision?

If date known - 50% line rental up to the fix date and if date not known - 1 month line rental credit - Mobile, SIM and Mobile Broadband

If unaligned, what aspect was unaligned?
N/A

Was any empowerment used?
N/A",Yes,"[""Credit Value accuracy""]","Valid Credit – Applied Credit amount value is correct. Advisor had followed the TS process and also ran resolve, As per CP6 advisor offered 50% waiver on the LR, The daily LR calculator with LR 16 shows waiver of 8.15 and same has been applied by the agent which is correct.",Overturned,Using the Daily line rental calculator if no fix date is shown then offer 50% of a full monthly LR from the resolve initiated date. - 15/07/2024 to 14/08/2024 is 31 days = £8.15.,,,,,"Coverage Policy - Welcome & Manage (Amdocs B2C)
Object ID 221761

For Mobile, SIM, and Mobile Broadband, offer 50% line rental up until the fix date shown on Resolve, and if the date isn't available, offer 1 month line rental from today's date. Using the Daily Line Rental Calculator, calculate the total line rental for that period and offer the customer half of that figure.","Removed failure reason - [""Above credit thresholds - Gave customer too much credit""]

Value of Credit accuracy - Changed from a ""No"" to a ""Yes""

Compensation SHOULD have been given - Changed from £8.00 to £8.15",17/07/2024,8.15,8.15
482,17/07/2024 14:45,employee_17,86699,DF Payment Support,981432671,00CMKDLLS0A5B6L71UM362LAES1UURB9,Voice,13/07/2024,14:30:00,Yes,5,5,B2B - Non-DD fee credit,yes,B2C-Non-dd fee credit,Yes,"[""N/A - No Fails""]","Scenario: 
The customer requested that the £5 non DD charge be removed as they were confused about the bills and saw two payments being taken out each month. The advisor removed the charge and advised this was a one off waiver.  
Aligned with credit as per support. 
Support Article - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Support Evidence - Section 4.1 ‘Offer the customer £5 credit to their account.’
Empowerment used – N/A.",Yes,"[""Credit Code accuracy""]",Not to be considered as error as per Exception,Overturned,Agents are unable to select B2C codes so have been instructed to use the B2B code.,,,,,,"Changed code adherence to ""Yes""",17/07/2024,5.0,5.0
483,17/07/2024 14:49,employee_16,88096,Manage,971178363,2bf3bace-f483-4ab1-b66f-9113096a0743,Webchat,14/07/2024,00:32:28,Yes,10,10,B2C-Poor customer service - GW,yes,B2C-Poor customer service - GW,Yes,"[""N/A - No Fails""]","Scenario: The customer is unhappy as they have bought a data pass but it has not been working and they have not been able to use the services. The agent offered £10 GWG. The customer is still unhappy as they still cannot use the services. After some checks the customer can now use the services. 

Are we aligned or not aligned with the applied credit?

Agent was aligned as per support
 
Is there a support article that supports the credit being applied?
'Goodwill Empowerment (Amdocs B2C – Rest of CC)'


Support evidence - 

Medium Impact - agent can offer £10. 
 
If unaligned, what aspect was unaligned?
N/A

Empowerment Used -

Customer journey.",No,,,,,,,,,,,17/07/2024,10.0,10.0
484,17/07/2024 14:57,employee_17,22780,DF Payment Support,980827836,01R76FLGCCA5B43MBUM362LAES0ID2CU,Voice,11/07/2024,12:32:00,Yes,5,5,B2C-Non-dd fee credit,yes,B2B - Non-DD fee credit,Yes,"[""N/A - No Fails""]","Scenario: 
The customer requested that the £5 non DD charge be removed as their bank cancelled the DD due to there being two payments going to Three, believing this was suspicious. The advisor removed the charge and advised this was a one off waiver.  
Alignedwith credit as per support. 
Support Article - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Support Evidence - Section 4.1 ‘Offer the customer £5 credit to their account.’
Empowerment used – N/A.",Yes,"[""Credit Code accuracy""]",Not to be considered as error as per Exception,Overturned,Agents are unable to select B2C codes so have been instructed to use the B2B code.,,,,,,"Changed code adherence to ""Yes""",17/07/2024,5.0,5.0
485,17/07/2024 14:58,employee_5,63678,Tech,968117749,01R76FLGCCA5B43MBUM362LAES0IINEP,Voice,15/07/2024,12:55:00,Yes,4.14,4.14,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: 

Customer has issues with calling and the call is transferred. The agent transferred the call and he next argent ran diagnostics...the customer was extremely rude and the agent handled the conversation well. Raghvendranaik@3vtech added the credit of 7 days, this took the customer up to the date provided of the fix

LR £18.00

Was the value of the credit accurate?

£4.14 Was Given
£4.14 Should Have been given. 
Answer: yes

Template:

Are we aligned or not aligned with the applied credit?. 
Aligned.

Is there a support article that supports the credit being applied?

Coverage Policy - Welcome & Manage (Amdocs B2C)
Last updated 29/04/2024
Object ID 221749

Which part of the article supports the decision?

Amount to be offered: Daily line rental up to fix date or next 7 days

If unaligned, what aspect was unaligned?
N/A

Was any empowerment used?
N/A",No,,,,,,,,,,,17/07/2024,4.14,4.14
486,17/07/2024 15:05,employee_16,83539,Manage,926082881,8c95a171-5b84-4c3d-b72e-bc42fc2d1523,Webchat,14/07/2024,00:34:08,Yes,5,5,B2C-Poor customer service - GW,yes,B2C-Poor customer service - GW,Yes,"[""N/A - No Fails""]","Scenario: The customer made an order for unlimited data (data passport) for 24 hours and the customer has not received an email confirmation. The customers order went through twice but the customer only needs one. The agent said it cannot be removed once added even if it was a system error. The agent offered the customer the £5 as a GWG.

Are we aligned or not aligned with the applied credit?

Agent was aligned as per support
 
Is there a support article that supports the credit being applied?
'Goodwill Empowerment (Amdocs B2C – Rest of CC)'


Support evidence - 

Low Impact - agent can offer £5. 
 
If unaligned, what aspect was unaligned?
N/A

Empowerment Used -

Customer journey.",No,,,,,,,,,,,17/07/2024,5.0,5.0
487,17/07/2024 15:13,employee_17,88818,Airtime Payment Support,109469427,01R76FLGCCA5B43MBUM362LAES0I2MDP,Voice,04/07/2024,15:17:00,Yes,5,5,B2B - Non-DD fee credit,yes,B2C-Non-dd fee credit,Yes,"[""N/A - No Fails""]","Scenario: 
The customer requested that the £5 non DD charge be removed as they believed the DD was set up on the account already and advised they hadn’t cancelled this. The advisor removed the charge and advised this was a one off waiver as a goodwill gesture. 
Aligned with credit as per support. 
Support Article - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Support Evidence - Section 4.1 ‘Offer the customer £5 credit to their account.’
Empowerment used – N/A.",Yes,"[""Credit Code accuracy""]",Not to be considered as error as per Exception,Overturned,Agents are unable to select B2C codes so have been instructed to use the B2B code.,,,,,,"Changed code adherence to ""Yes""",17/07/2024,5.0,5.0
488,17/07/2024 15:25,employee_17,91617,Airtime Payment Support,984407617,00G7DN5E4GA5B62FQEM362LAES0HVILV,Voice,02/07/2024,14:20:00,Yes,5,5,B2B - Non-DD fee credit,yes,B2C-Non-dd fee credit,Yes,"[""N/A - No Fails""]","Scenario: 
The customer requested that the £5 non DD charge be removed as they believed the DD was set up on the account already and advised they hadn’t cancelled this. The advisor removed the charge and advised this was a one off waiver.  
Aligned with credit as per support. 
Support Article - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Support Evidence - Section 4.1 ‘Offer the customer £5 credit to their account.’
Empowerment used – N/A.",Yes,"[""Credit Code accuracy""]",Not to be considered as error as per Exception,Overturned,Agents are unable to select B2C codes so have been instructed to use the B2B code.,,,,,,"Changed code adherence to ""Yes""",17/07/2024,5.0,5.0
489,17/07/2024 15:46,employee_5,72503,Tech,952431505,32fdcf1a-a429-43f6-85ef-e21bf821381b,Webchat,15/07/2024,16:33:00,Yes,32,32,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: 

Customer states they have no network covergae at their new home. The agent runs diagnostics and advises due to high demand the mast is struggling with stable connection. Due to this the agent offers 1 month LR credit as advied to follow CP6

LR £32.00

Was the value of the credit accurate?

£32.00 Was Given
£32.00 Should Have been given. 
Answer: yes

Template:

Are we aligned or not aligned with the applied credit?. 
Aligned.

Is there a support article that supports the credit being applied?

Coverage Policy - Welcome & Manage (Amdocs B2C)
Last updated 29/04/2024
Object ID 221761

Which part of the article supports the decision?

If date known - 100% LR up to the fix date and if date not known – 1 month line rental credit – Home Broadband

If unaligned, what aspect was unaligned?
N/A

Was any empowerment used?
N/A",No,,,,,,,,,,,17/07/2024,32.0,32.0
490,17/07/2024 15:59,employee_5,62095,Tech,987693316,d134b905-6955-49a7-ba8d-1e782dc377c1,Webchat,15/07/2024,18:17:00,Yes,5.02,5.02,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: 

Customer states they are struggling with the mbb. The agent runs resolve and advises od and issue with the mast and to follow CP2. the agent offers 7days LR

LR £21.84

Was the value of the credit accurate?

£5.02 Was Given
£5.02 Should Have been given. 
Answer: yes

Template:

Are we aligned or not aligned with the applied credit?. 
Aligned.

Is there a support article that supports the credit being applied?

Coverage Policy - Welcome & Manage (Amdocs B2C)
Last updated 29/04/2024
Object ID 221749

Which part of the article supports the decision?

Amount to be offered: Daily line rental up to fix date or next 7 days

If unaligned, what aspect was unaligned?
N/A

Was any empowerment used?
N/A",No,,,,,,,,,,,17/07/2024,5.02,5.02
491,18/07/2024 09:12,employee_5,31717,Tech,947478313,edc5116e-c138-42cc-b09a-4fc45a19da49,Webchat,15/07/2024,21:26:00,Yes,17.37,17.37,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: 

Customer contacted as they are having trouble with the signal from their workplace. The agent runs checks and advises there is an issue in the area the customer is referring to. The argent offers a credit of 7 days 

LR £75.52

Was the value of the credit accurate?

£17.37 Was Given
£17.37 Should Have been given. 
Answer: yes

Template:

Are we aligned or not aligned with the applied credit?. 
Aligned.

Is there a support article that supports the credit being applied?

Coverage Policy - Welcome & Manage (Amdocs B2C)
Last updated 29/04/2024
Object ID 221749

Which part of the article supports the decision?

Amount to be offered: Daily line rental up to fix date or next 7 days

If unaligned, what aspect was unaligned?
N/A

Was any empowerment used?
N/A",No,,,,,,,,,,,18/07/2024,17.37,17.37
492,18/07/2024 11:37,employee_16,40312,Tech,980645698,01R76FLGCCA5B43MBUM362LAES0IMBGP,Voice,17/07/2024,00:28:27,Yes,7.3,7.3,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: The customers daughter is having network issues at her school. After the agent run the network checks there is works until 22/07/2024. The agent advises the same and offers a credit for 6 days MLR for the time with reduced services until fix date. The MLR Calculator confirms £37.02 = £7.30 for 6 days. Agent followed CP2 due to it being under 28 days.

Are we aligned or not aligned with the applied credit?
Aligned as per support
 
Is there a support article that supports the credit being applied?
Coverage Policy (Amdocs B2C - Tech team, Reconnect Team & Complaints)

 
Support evidence - 
''Code to be used: B2C – Network Fault
Amount to be offered: 7 days Line rental credit OR Daily Line rental up to the fix date''
 
If unaligned, what aspect was unaligned?
N/A
Empowerment Used -
N/A",No,,,,,,,,,,,18/07/2024,7.3,7.3
493,18/07/2024 12:00,employee_16,43182,Tech,985759332,00G7DN5E4GA5B62FQEM362LAES0IMA06_,Voice,17/07/2024,00:13:01,Yes,2.13,2.13,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: The customer has been having issues with slow internet and a poor connection via their HBB since that morning. The agent carried out their checks and it confirms that the work should be finished by 18/07/2024. The agent offered 3 days LR, it does advise in support upto 7 days or until fix date.

Are we aligned or not aligned with the applied credit?
Aligned as per support
 
Is there a support article that supports the credit being applied?
Coverage Policy (Amdocs B2C - Tech team, Reconnect Team & Complaints)

 
Support evidence - 
''Code to be used: B2C – Network Fault
Amount to be offered: 7 days Line rental credit OR Daily Line rental up to the fix date''
 
If unaligned, what aspect was unaligned?
N/A
Empowerment Used -
N/A",No,,,,,,,,,,,18/07/2024,2.13,2.13
494,18/07/2024 13:11,employee_16,85860,Tech,106748034,01R76FLGCCA5B43MBUM362LAES0IMOM3,Voice,17/07/2024,00:17:33,Yes,2.48,2.48,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: The customer has been facing issues with their internet for the last 4 months. 

Free cancellation with a pac code as sim only account. The customer rejected this as they just want this fixed. The agent advised there is no exact issue with this being fixed. In the notes agent advises that their TL has allowed them to follow CP5 for Indoor & Outdoor coverage. 

The agent offered the customer MLR credit for 7 days. (£10.78MLR = £2.48 for 7 days LR).

Customer rejected the Cancellation of the sim with the pac code. Agent confirmed that there is no current time frame for the fix. The agent explained 7 days credit and if longer then contact Three. 
 
Are we aligned or not aligned with the applied credit?
Aligned as per support
 
Is there a support article that supports the credit being applied?
Coverage Policy (Amdocs B2C - Tech team, Reconnect Team & Complaints)

 
Support evidence - 
''CP5 - SIM ONLY - 
 Cancel a Pay Monthly plan

SIM Only customers can cancel Free of Cost.
Code to be used: B2C – Network Fault
Amount to be offered: Up to 7 days Line rental credit
Conditions: You can only offer line rental credit from the date when the last credit finished.''

If unaligned, what aspect was unaligned?
N/A

Empowerment Used -
Complaint language",No,,,,,,,,,,,18/07/2024,2.48,2.48
495,18/07/2024 14:09,employee_12,82344,Complaints,103676682,00CMKDLLS0A5B6L71UM362LAES1VDK64,Voice,17/07/2024,09:01:00,Yes,12,0,B2C-Poor customer service - GW,yes,B2C-Poor customer service - GW,Yes,,"Scenario – Customer has received the first bill on 07/07/24 which covers the period of June & July (2 months). The customer was expecting half price for the first 6 months with their bills being £12.
Checking the bill we can see the half price has been applied correctly, and the bill covers June & July – therefore the £24 bill is correct.
The agent could have offered a better explanation of the charges to the customer to show these were charged correctly.

Not Aligned with the credit as per support. 

Support Article - Goodwill Empowerment (CRT)

Support evidence – The below steps should have been followed:

Important 
•	Make sure you’ve reviewed the customer’s account, their history with Three and resolved the issues the customer is complaining about. 
•	Make sure after the underlying issue is resolved and you have provided apologies/assurances to the customer to resolve the situation. 
•	Make sure you give a clear explanation to the customer about what had gone wrong and help them understand it to avoid repeat contact.
•	If the customer accepts the apology, then close the case with resolution. Please refer to the process Managing OFCOM complaints (Amdocs B2C - CRT Social Media) for more guidance on closing a complaint
Note: Do not offer any GWG credit.

There was no clear justification provided for what failings area caused the agent to offer the £12 credit 

Empowerment used - yes",Yes,"[""Credit Adherence accuracy"",""Credit Code accuracy"",""Credit Value accuracy""]","Valid Credit – Advisor has offered Goodwill to the customer based on the customer experience, 
Customer took new contract with start date 7th June 24, 6Month Half Price was active as well,  Ideally 1st bill should have been generated by 12th June 24 which is within 5 days of Contract start date. However 1st bill was not generated on time, it was delayed by 1 month. 1st Bill was generated on 8th Jul with LR of 2 months (12 +12 =24 Pounds) Hence customer was not happy. Customer was only expecting to pay 12 Pounds with 5 days Pro rata LR charge, customer was shocked with 24 Pounds charge, Advisor explained correctly that the charge was for 2 month LR and gave correct date for usage period. It’s a system error and impacted customer experience hence credit was offered for 12 Pounds which is correct. On 15th July, CMT case was raised by the EO and triage team made an attempt on 15th July which went as uncontactable. Customer called back on 16th July and spoke to CRT who raised the case to BA, customer called on 17th Spoke to Ivanna, who resolved the issue considering the customer was a repeat caller has called twice for the same reason her card was also blocked which customer has mentioned on the call that because of THREE my card is been blocked. Also considering that EO and Triage team has handled the issue credit was added under GWG.",Overturned,Overturn 3 appeal categories due to customer service failures.,,,,,,"Code used correctly - Changed from No wrong code to Yes

Value from a no to a yes.

Credit Rules followed as per support - changed from no to a yes.

Removed Failure reason - [""Proactively offered credit "",""Credit provided when no credit was due""]",18/07/2024,12.0,0.0
496,18/07/2024 14:19,employee_16,87085,Tech,986335163,00CMKDLLS0A5B6L71UM362LAES1VENSO,Voice,17/07/2024,00:51:44,Yes,3.89,3.9,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: The customer is facing issues accessing the internet via their hand device and MBB. It started the same day as the call. The agent carried out the checks and it shows there is planned work. Agent follows CP2 as under 28 days. The agent covered 6 days LR up until fix date 22/07/24. £19.76MR = £3.90 for 6 days LR. 

Feedback: Agent was out by £00.01 via the credit applied. Agent applied £3.89 but should have been £3.90. Did not penalise for 1p as could be their rounding.
 
Are we aligned or not aligned with the applied credit?
Aligned as per support
 
Is there a support article that supports the credit being applied?
Coverage Policy (Amdocs B2C - Tech team, Reconnect Team & Complaints)

 
Support evidence - 
''CP2 = Code to be used: B2C – Network Fault
Amount to be offered: 7 days Line rental credit OR Daily Line rental up to the fix date''

If unaligned, what aspect was unaligned?
N/A

Empowerment Used -
Complaints language - ofcom/complaint",No,,,,,,,,,,,18/07/2024,3.89,3.9
497,18/07/2024 14:58,employee_12,88676,Complaints,962826264,00CMKDLLS0A5B6L71UM362LAES1VDGE8,Voice,17/07/2024,08:02:00,No,10,2.34,B2C-Network Fault,yes,B2C-Network Fault,No,"[""Above credit thresholds - Gave customer too much credit""]","Scenario –  Customer facing network issues, resolve outcome of CP2 with fix date of 18/07/24. 1st agent offered £2.34 network credit, the customer was unhappy with this and transferred to complaints.
CRT agent offered £10 credit under Network.  Any credit which on Amdocs under 'Network' should have reflected the support article for Coverage.
Any additional compensation should have been as GWG to the customer if this could be justified.

Not Aligned with the credit as per support - Incorrect Network credit amount applied on Amdocs

Support Article - Coverage Policy (Amdocs B2C - Tech team, Reconnect Team & Complaints) Last updated 29/04/2024, Object ID 219801

Support evidence – If they haven't been given credit before, calculate the Daily Line up to the date the fix is shown on Resolve.

Apply the credit using the one-off charge code B2C - Network Fault

Code to be used: B2C – Network Fault
Amount to be offered: 7 days Line rental credit OR Daily Line rental up to the fix date

Conditions:
•	Credit can only be offered from the date when the last credit finished.
•	If resolve doesn't provide a date, consider LR for 7 days
•	Credit date can be backdated up to 7 days prior to customer calling to report as long as there is evidence on Resolve",Yes,"[""Credit Adherence accuracy"",""Credit Value accuracy""]","Valid Credit - Goodwill offered as per CRT empowerment - 2. Advisor informed she has been offered 2.34 Pounds credit for 3 days, Customer said ""Its a joke"" ""I am using my phone for work, I am paying full LR"" Advisor offered 5 Pounds. Customer said she will not take 2 Pounds for 3 days, customer continuously showed dissatisfaction, Customer said ""How much do you pay to go to Internet cafe and use internet"" Customer said just don’t give me anything, I will pay the bill and will cancel my contract. Objection handling was done by 1st line agent, based on customer verbatim credit was offered after negotiating. Its is clearly evident on the call that customer was not happy because of the network issue and also said she will be leaving Three cause of the network considering that advisor negotiated and offered a credit of 10 pounds.",Remains Unjustified,"The network credit should have been accurate to the daily line rental calculator (£2.34), any additional could have been added as a separate goodwill credit to make up the £10 and show accurate reporting for GW spend.

Adherence - Should have been two separate credits applied

Value - Value to the code used is incorrect as per policy and the daily line rental calculator.",Yes,"Valid Credit – Advisor has offered the credit based on the customer experience since the customer continuously showed dissatisfaction, Advisor offered the credit to the customer based on the Goodwill matrix since the customer was not happy with the credit offered as per Coverage policy.",Remains Unjustified,Goodwill should be applied separately as per the process and guidance provided. Network credit stands as per DLR Calculator. Also Network complaints GW can't be applied extra on top of the correctional credit. Can be applicable after from the guidance on the GW matrix.,"Coverage Policy (Amdocs B2C - Tech team, Reconnect Team & Complaints)

Last updated 03/06/2024
Object ID 219791",No changes have been made to this audit.,18/07/2024,10.0,2.34
498,18/07/2024 15:14,employee_16,86855,Tech,106302826,01R76FLGCCA5B43MBUM362LAES0IM1ME,Voice,17/07/2024,00:22:33,Yes,4.96,4.96,B2C-Network Fault,yes,B2C-Network Fault,Yes,"[""N/A - No Fails""]","Scenario: Customer has been having on-going issues with their internet on their router, including slow speeds. The customer said has been happening for 6 months. The agent carries out their checks and it advises there is an issue, to follow CP2. There is no fix date shown. The HBB ending in '0656, is £21.58MR and ££4.96 for 7 days LR. 


 
Are we aligned or not aligned with the applied credit?
Aligned as per support
 
Is there a support article that supports the credit being applied?
Coverage Policy (Amdocs B2C - Tech team, Reconnect Team & Complaints)

 
Support evidence - 
''CP2 = Code to be used: B2C – Network Fault
Amount to be offered: 7 days Line rental credit OR Daily Line rental up to the fix date''

If unaligned, what aspect was unaligned?
N/A

Empowerment Used -
N/A",No,,,,,,,,,,,18/07/2024,4.96,4.96
499,18/07/2024 15:26,employee_17,51838,Airtime Payment Support,973857503,01R76FLGCCA5B43MBUM362LAES0IDUU3,Voice,11/07/2024,19:33:00,Yes,5,5,B2C-Non-dd fee credit,yes,B2C-Non-dd fee credit,Yes,"[""N/A - No Fails""]","Scenario: 
The customer requested that the £5 non DD charge be removed as they believed the DD was set up on the account already and advised they hadn’t cancelled this. They advised they'd be unable to pay the arrears if the DD charge was applied. The advisor removed the charge and advised this was a one off waiver.  
Aligned with credit as per support. 
Support Article - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Support Evidence - Section 4.1 ‘Offer the customer £5 credit to their account.’
Empowerment used – N/A.",No,,,,,,,,,,,18/07/2024,5.0,5.0
500,18/07/2024 15:44,employee_17,88341,Airtime Payment Support,984436786,01R76FLGCCA5B43MBUM362LAES0IETH5,Voice,12/07/2024,13:21:00,Yes,5,5,B2C-Non-dd fee credit,yes,B2C-Non-dd fee credit,Yes,"[""Proactively offered credit ""]","Scenario: 
The customer wanted to understand their bill amount and made comments about finding it difficult to clear the full balance. The agent (Dwarsingh Rahul) proactively offered a £5 credit in order to secure a payment. This was the first instance of the customer being offered/given a £5 DD credit and the customer was advised this would be a one off. 
Aligned with credit as per support. 
Support Article - Managing recurring payment discount disputes (Amdocs – B2C) objid231783
Support Evidence - Section 4.1 ‘Offer the customer £5 credit to their account.’
Empowerment used – N/A.",No,,,,,,,,,,,18/07/2024,5.0,5.0
